1,1,53.88,61.11,122.22,56.09,1,1,1.0
1,2,0.0,12.91,19.12,28.790000000000003,1,1,1.0
1,3,96.2,0.0,224.10000000000002,61.6,1,1,1.0
1,4,314.46,0.0,395.74000000000007,113.2,1,1,1.0
2,1,35.4,57.52,118.69999999999999,56.089999999999996,1,1,1.0
2,2,0.0,16.8,11.28,21.8,1,1,1.0
2,3,94.25,0.0,225.35000000000002,61.6,1,1,1.0
2,4,314.46,0.0,394.59,113.2,1,1,1.0
3,1,20.0,54.95,113.09,54.03999999999999,1,1,1.0
3,2,0.0,16.41,3.84,21.8,1,1,1.0
3,3,92.3,0.0,226.59999999999997,61.6,1,1,1.0
3,4,314.46,0.0,393.44,113.2,1,1,1.0
4,1,4.6,51.87,109.5,54.04,1,1,1.0
4,3,91.67,0.21,226.59999999999997,61.6,1,1,1.0
4,4,314.25,0.21,393.44000000000005,113.2,1,1,1.0
5,1,0.0,49.3,94.08,52.5,1,1,1.0
5,3,91.04,0.42,226.59999999999997,61.6,1,1,1.0
5,4,314.04,0.42,393.44,113.2,1,1,1.0
6,1,0.0,45.71,76.11,50.38999999999999,1,1,1.0
6,3,90.41,0.63,226.6,61.599999999999994,1,1,1.0
6,4,313.83,0.63,393.44,113.2,1,1,1.0
7,1,0.0,43.14,59.68,48.86,1,1,1.0
7,3,89.79,0.63,226.59999999999997,61.599999999999994,1,1,1.0
7,4,312.58,0.0,393.43,113.2,1,1,1.0
8,1,0.0,41.6,44.79,45.300000000000004,1,1,1.0
8,3,89.16,0.63,226.6,61.599999999999994,1,1,1.0
8,4,311.32,0.63,393.44,113.2,1,1,1.0
9,1,0.0,41.65,26.8,40.63,1,1,1.0
9,3,89.16,0.63,226.6,61.599999999999994,1,1,1.0
9,4,311.32,0.63,393.44,113.2,1,1,1.0
10,1,0.0,46.3,14.48,30.799999999999997,1,1,1.0
10,3,89.16,0.63,226.6,61.599999999999994,1,1,1.0
10,4,311.32,0.63,393.44,113.2,1,1,1.0
10,5,913.5,186.38,46.5,76.38999999999999,1,1,1.0
11,3,89.16,0.63,226.6,61.599999999999994,1,1,1.0
11,4,311.32,0.63,393.44,113.2,1,1,1.0
11,5,868.2,182.8,91.79999999999995,86.19999999999999,1,1,1.0
12,3,89.16,0.63,226.6,61.599999999999994,1,1,1.0
